AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
RetinalDetach_prevalence_birm_cam,x,CPRD_RETINAL_DETACH,Retinal Detachment,Retinal Detachment,Retinal Detachment,retinal_detach,Eye Diagnoses,,
CPRDAurum_RetinalVascularOcclusions,x,CPRD_RETINAL_VASC_OCCL,Retinal Vascular Occlusion,Retinal Vascular Occlusion,Retinal Vascular Occlusion,retinal_vasc_occl,Eye Diagnoses,,
CPRDAurum_RheumaticFever_Vet,x,CPRD_RH_FEVER,Rheumatic Fever,Rheumatic Fever,Rheumatic Fever,rh_fever,Infectious Diseases,,
CPRDAurum_RheumaticValveDisorder,x,CPRD_RH_VALVE,Rheumatic Valve Disorder,Rheumatic Valve Disorder,Rheumatic Valve Disorder,rh_valve,Circulatory System Diagnoses,,
RheumatoidArthritis_MM_birm_cam,x,CPRD_RHA,Rheumatoid Arthritis,Rheumatoid Arthritis,Rheumatoid Arthritis,rha,Musculoskeletal Diagnoses,1,
CPRDAurum_RightBundleBranchBlockCombinations,x,CPRD_RBBB,Right Bundle Branch Block,Right Bundle Branch Block,Right Bundle Branch Block,rbbb,Circulatory System Diagnoses,,
Rosacea_birm_cam,bigger list,CPRD_ROSACEA,Rosacea,Rosacea,Rosacea,rosacea,Skin Diagnoses,,
Sarcoidosis_birm_cam,bigger list,CPRD_SARCOID,Sarcoidosis,Sarcoidosis,Sarcoidosis,sarcoid,Blood and Immune System Diagnoses,,
Schizophrenia,bigger list,CPRD_SCHIZO,Schizophrenia,Schizophrenia,Schizophrenia,schizo,Mental and Behavioural Diagnoses,,
scleritis_CPRDAURUM,bigger list,CPRD_SCLERITIS,Scleritis,Scleritis,Scleritis,scleritis,Eye Diagnoses,,
CPRDAurum_Scleroderma,x,CPRD_SYS_SCLEROSIS,Systemic Sclerosis,Scleroderma,Scleroderma,scleroderma,Musculoskeletal Diagnoses,,
Scoliosis_birm_cam,x,CPRD_SCOLIOSIS,Scoliosis,Scoliosis,Scoliosis,scoliosis,Musculoskeletal Diagnoses,,
SeborrhoeicDermatitis_birm_cam,x,CPRD_SEB_DERM,Seborrheic Dermatitis,Seborrheic Dermatitis,Seborrheic Dermatitis,seb_derm,Skin Diagnoses,,
CPRDAurum_SecondaryMalignancy_AdrenalGland,x,CPRD_SEC_ADRENAL,Secondary Malignancy - Adrenal,Secondary Malignancy - Adrenal,Secondary Malignancy - Adrenal,malig_sec_adrenal,Cancers,1,
CPRDAurum_SecondaryMalignancy_Bone,x,CPRD_SEC_BONE,Secondary Malignancy - Bone,Secondary Malignancy - Bone,Secondary Malignancy - Bone,malig_sec_bone,Cancers,1,
CPRDAurum_SecondaryMalignancy_Bowel,x,CPRD_SEC_BOWEL,Secondary Malignancy - Bowel,Secondary Malignancy - Bowel,Secondary Malignancy - Bowel,malig_sec_bowel,Cancers,1,
CPRDAurum_SecondaryMalignancy_Brain,x,CPRD_SEC_BRAIN,Secondary Malignancy - Brain,Secondary Malignancy - Brain,Secondary Malignancy - Brain,malig_sec_brain,Cancers,1,
CPRDAurum_SecondaryMalignancy_Liver,x,CPRD_SEC_LIVER,Secondary Malignancy - Liver,Secondary Malignancy - Liver,Secondary Malignancy - Liver,malig_sec_liver,Cancers,1,
CPRDAurum_SecondaryMalignancy_Lung,x,CPRD_SEC_LUNG,Secondary Malignancy - Lung,Secondary Malignancy - Lung,Secondary Malignancy - Lung,malig_sec_lung,Cancers,1,
CPRDAurum_SecondaryMalignancy_LymphNodes,x,CPRD_SEC_LN,Secondary Malignancy - Lymph Nodes,Secondary Malignancy - Lymph Nodes,Secondary Malignancy - Lymph Nodes,malig_sec_ln,Cancers,1,
